English,Japanese,context
challenger,	オルタネイト,She is an challenger.
challengers,	交番,We found several challengers.
challenges,	変更,We found several challenges.
challenging,	不変,They are challenging the results.
clause,	無修正,Try to use the word 'clause' in a short sentence.
clauses,改める,We found several clauses.
compound,	改正,Try to use the word 'compound' in a short sentence.
compounded,	改正,I compounded the report.
compounding,	改正,They are compounding the results.
compounds,	改正,We found several compounds.
conflict,	補償,Try to use the word 'conflict' in a short sentence.
conflicted,認識,I conflicted the report.
conflicting,	意識,They are conflicting the results.
conflicts,	知らない,We found several conflicts.
consult,能力,Try to use the word 'consult' in a short sentence.
consultancy,	容量,Try to use the word 'consultancy' in a short sentence.
consultant,	無力化,Try to use the word 'consultant' in a short sentence.
consultants,	無力,We found several consultants.
consultation,挑戦,Try to use the word 'consultation' in a short sentence.
consultations,	挑戦,We found several consultations.
consultative,	挑戦者,Try to use the word 'consultative' in a short sentence.
consulted,	挑戦,I consulted the report.
consults,	課題,We found several consults.
consulting,	挑戦,They are consulting the results.
contact,条項,Try to use the word 'contact' in a short sentence.
contactable,	句,Try to use the word 'contactable' in a short sentence.
contacted,化合物,I contacted the report.
contacting,	配合,They are contacting the results.
contacts,	配合,We found several contacts.
decline,	化合 物,Try to use the word 'decline' in a short sentence.
declined,葛藤,I declined the report.
declines,	競合,We found several declines.
declining,	競合,They are declining the results.
discrete,	競合,Try to use the word 'discrete' in a short sentence.
discretely,相談,Try to use the word 'discretely' in a short sentence.
discretion,	コンサルティング,Try to use the word 'discretion' in a short sentence.
discretionary,	コンサルタント,Try to use the word 'discretionary' in a short sentence.
indiscrete,	コンサルタント,Try to use the word 'indiscrete' in a short sentence.
indiscretion,	相談,Try to use the word 'indiscretion' in a short sentence.
draft,	相談,Try to use the word 'draft' in a short sentence.
drafted,	協議,I drafted the report.
drafting,	相談,They are drafting the results.
drafts,	相談,We found several drafts.
redraft,	コンサルティング,Try to use the word 'redraft' in a short sentence.
redrafted,接触,I redrafted the report.
redrafting,	接触可能,They are redrafting the results.
redrafts,	連絡,We found several redrafts.
enable,	連絡,Try to use the word 'enable' in a short sentence.
enabled,	連絡先,I enabled the report.
enables,断る,We found several enables.
enabling,	減少,They are enabling the results.
energy,	低下,Try to use the word 'energy' in a short sentence.
energetic,	下火,Try to use the word 'energetic' in a short sentence.
energetically,離散的,Try to use the word 'energetically' in a short sentence.
energies,	離散,We found several energies.
enforce,	裁量,Try to use the word 'enforce' in a short sentence.
enforced,	随意,I enforced the report.
enforcement,	詮索,Try to use the word 'enforcement' in a short sentence.
enforces,	不心得,We found several enforces.
enforcing,ドラフト,They are enforcing the results.
entity,	起草,Try to use the word 'entity' in a short sentence.
entities,	起案,We found several entities.
equivalent,	下書き,Try to use the word 'equivalent' in a short sentence.
equivalence,	再投稿,Try to use the word 'equivalence' in a short sentence.
evolve,	再ドラフト,Try to use the word 'evolve' in a short sentence.
evolution,	リドラフト,Try to use the word 'evolution' in a short sentence.
evolved,	再ドラフト,I evolved the report.
evolving,エネーブル,They are evolving the results.
evolves,	有効,We found several evolves.
evolutionary,	可能,Try to use the word 'evolutionary' in a short sentence.
evolutionist,	有効にする,Try to use the word 'evolutionist' in a short sentence.
evolutionists,エネルギー,We found several evolutionists.
expand,	エネルギッシュ,Try to use the word 'expand' in a short sentence.
expanded,	奮って,I expanded the report.
expanding,	エネルギー,They are expanding the results.
expands,適用,We found several expands.
expansion,	適用,Try to use the word 'expansion' in a short sentence.
expansionism,	実施,Try to use the word 'expansionism' in a short sentence.
expansive,	強制,Try to use the word 'expansive' in a short sentence.
expose,	強制,Try to use the word 'expose' in a short sentence.
exposed,実体,I exposed the report.
exposes,	エンティティ,We found several exposes.
exposing,同等,They are exposing the results.
exposure,	等価,Try to use the word 'exposure' in a short sentence.
exposures,進化,We found several exposures.
external,	進化,Try to use the word 'external' in a short sentence.
externalisation,	進化,Try to use the word 'externalisation' in a short sentence.
externalise,	進化,Try to use the word 'externalise' in a short sentence.
externalised,	進化,I externalised the report.
externalises,	進化,We found several externalises.
externalising,	進化論者,They are externalising the results.
externality,	進化 論,Try to use the word 'externality' in a short sentence.
externalization,膨らむ,Try to use the word 'externalization' in a short sentence.
externalize,	拡大,Try to use the word 'externalize' in a short sentence.
externalized,	拡大,I externalized the report.
externalizes,	拡大 	,We found several externalizes.
externalizing,	拡張,They are externalizing the results.
externally,	拡張,Try to use the word 'externally' in a short sentence.
facilitate,	濊,Try to use the word 'facilitate' in a short sentence.
facilitated,晒す,I facilitated the report.
facilitates,	露,We found several facilitates.
facilities,	公開,We found several facilities.
facilitating,	摘発,They are facilitating the results.
facilitation,	接触,Try to use the word 'facilitation' in a short sentence.
facilitator,	エクスポー ジャー,She is an facilitator.
facilitators,外,We found several facilitators.
facility,	外部化,Try to use the word 'facility' in a short sentence.
fundamental,	アウトソーシング,Try to use the word 'fundamental' in a short sentence.
fundamentally,	外部化,Try to use the word 'fundamentally' in a short sentence.
generate,	アウトソーシング,Try to use the word 'generate' in a short sentence.
generated,	外部化,I generated the report.
generates,	外部性,We found several generates.
generating,	外部,They are generating the results.
generation,	外部,Try to use the word 'generation' in a short sentence.
generations,	外部化,We found several generations.
image,	外部化,Try to use the word 'image' in a short sentence.
imagery,	外部,Try to use the word 'imagery' in a short sentence.
images,	外部,We found several images.
liberal,容易,Try to use the word 'liberal' in a short sentence.
liberalise,	促進,Try to use the word 'liberalise' in a short sentence.
liberalism,	容易,Try to use the word 'liberalism' in a short sentence.
liberalisation,	設備,Try to use the word 'liberalisation' in a short sentence.
liberalised,	促進,I liberalised the report.
liberalises,	促進,We found several liberalises.
liberalising,	ファシリテーター,They are liberalising the results.
liberalization,	ファシリテーター,Try to use the word 'liberalization' in a short sentence.
liberalize,	施設,Try to use the word 'liberalize' in a short sentence.
liberalized,基本,I liberalized the report.
liberalizes,	基本的,We found several liberalizes.
liberalizing,生成する,They are liberalizing the results.
liberate,	生成,Try to use the word 'liberate' in a short sentence.
liberated,	生成,I liberated the report.
liberates,	生成,We found several liberates.
liberation,世,Try to use the word 'liberation' in a short sentence.
liberations,	世代,We found several liberations.
liberating,画像,They are liberating the results.
liberator,	画像,She is an liberator.
liberators,	画像,We found several liberators.
liberally,リベラル,Try to use the word 'liberally' in a short sentence.
liberals,	自由化,We found several liberals.
licence,	自由主義,Try to use the word 'licence' in a short sentence.
licences,	自由化,We found several licences.
license,	自由化,Try to use the word 'license' in a short sentence.
licensed,	自由化,I licensed the report.
licensing,	自由化,They are licensing the results.
licenses,	自由化,We found several licenses.
unlicensed,	自由化,I unlicensed the report.
logic,	自由化,Try to use the word 'logic' in a short sentence.
illogical,	自由化,Try to use the word 'illogical' in a short sentence.
illogically,	自由化,Try to use the word 'illogically' in a short sentence.
logical,	解き放す,Try to use the word 'logical' in a short sentence.
logically,	解放,Try to use the word 'logically' in a short sentence.
logician,	解放,Try to use the word 'logician' in a short sentence.
logicians,	解放,We found several logicians.
margin,	解放,Try to use the word 'margin' in a short sentence.
marginal,	解放,Try to use the word 'marginal' in a short sentence.
marginally,	リベレーター,Try to use the word 'marginally' in a short sentence.
margins,	解放,We found several margins.
medical,	自由,Try to use the word 'medical' in a short sentence.
medically,	自由主義 者,Try to use the word 'medically' in a short sentence.
mental,ライセンス,Try to use the word 'mental' in a short sentence.
mentality,	ライセンス,Try to use the word 'mentality' in a short sentence.
mentally,	ライセンス,Try to use the word 'mentally' in a short sentence.
modify,	ライセンス,Try to use the word 'modify' in a short sentence.
modification,	ライセンス,Try to use the word 'modification' in a short sentence.
modifications,	ライセンス,We found several modifications.
modified,	無免許の,I modified the report.
modifies,論理,We found several modifies.
modifying,	支離滅裂な,They are modifying the results.
unmodified,	非論理的,I unmodified the report.
monitor,	合理的,She is an monitor.
monitored,	元来,I monitored the report.
monitoring,	論理学者,They are monitoring the results.
monitors,	論理学者,We found several monitors.
unmonitored,余地,I unmonitored the report.
network,	限界,Try to use the word 'network' in a short sentence.
networked,	わずか,I networked the report.
networking,	余白,They are networking the results.
networks,メディカル,We found several networks.
notion,	医学,Try to use the word 'notion' in a short sentence.
notions,精神,We found several notions.
objective,	メンタリティー,Try to use the word 'objective' in a short sentence.
objectively,	精神的に,Try to use the word 'objectively' in a short sentence.
objectivity,修飾する,Try to use the word 'objectivity' in a short sentence.
orient,	修正,Try to use the word 'orient' in a short sentence.
orientate,	変遷,Try to use the word 'orientate' in a short sentence.
orientated,	変更,I orientated the report.
orientates,	変更,We found several orientates.
orientation,	変更,Try to use the word 'orientation' in a short sentence.
orientating,	未変更,They are orientating the results.
oriented,モニター,I oriented the report.
orienting,	監視,They are orienting the results.
orients,	モニタリング,We found several orients.
reorient,	モニター,Try to use the word 'reorient' in a short sentence.
reorientation,	監視対象外,Try to use the word 'reorientation' in a short sentence.
perspective,ネットワーク,Try to use the word 'perspective' in a short sentence.
perspectives,	ネットワーク,We found several perspectives.
precise,	ネットワーキング,Try to use the word 'precise' in a short sentence.
imprecise,	ネットワーク,Try to use the word 'imprecise' in a short sentence.
precisely,概念,Try to use the word 'precisely' in a short sentence.
precision,	概念,Try to use the word 'precision' in a short sentence.
prime,目的,Try to use the word 'prime' in a short sentence.
primacy,	客観的,Try to use the word 'primacy' in a short sentence.
psychology,	客観性,Try to use the word 'psychology' in a short sentence.
psychological,オリエント,Try to use the word 'psychological' in a short sentence.
psychologically,	オリエンテッド,Try to use the word 'psychologically' in a short sentence.
psychologist,	志向,Try to use the word 'psychologist' in a short sentence.
psychologists,	オリエンテーション,We found several psychologists.
pursue,	オリエンテーション,Try to use the word 'pursue' in a short sentence.
pursued,	配向,I pursued the report.
pursues,	オリエンテッド,We found several pursues.
pursuing,	定位,They are pursuing the results.
pursuit,	方向づける,Try to use the word 'pursuit' in a short sentence.
pursuits,	方向,We found several pursuits.
ratio,	方向 転換,Try to use the word 'ratio' in a short sentence.
ratios,パースペクティブ,We found several ratios.
reject,	視点,Try to use the word 'reject' in a short sentence.
rejected,正確,I rejected the report.
rejecting,	不明確,They are rejecting the results.
rejection,	丁度,Try to use the word 'rejection' in a short sentence.
rejects,	精度,We found several rejects.
rejections,盛り,We found several rejections.
revenue,	優位 性,Try to use the word 'revenue' in a short sentence.
revenues,心理学,We found several revenues.
stable,	サイコロジカル,Try to use the word 'stable' in a short sentence.
instability,	心理 的,Try to use the word 'instability' in a short sentence.
stabilisation,	心理学者,Try to use the word 'stabilisation' in a short sentence.
stabilise,	心理 学 者,Try to use the word 'stabilise' in a short sentence.
stabilised,追う,I stabilised the report.
stabilises,	追求,We found several stabilises.
stabilising,	追求,They are stabilising the results.
stabilization,	追求,Try to use the word 'stabilization' in a short sentence.
stabilize,	追求,Try to use the word 'stabilize' in a short sentence.
stabilized,	追求,I stabilized the report.
stabilizes,比,We found several stabilizes.
stabilizing,	 比,They are stabilizing the results.
stability,リジェクト,Try to use the word 'stability' in a short sentence.
unstable,	拒否,Try to use the word 'unstable' in a short sentence.
style,	拒否,Try to use the word 'style' in a short sentence.
styled,	拒絶,I styled the report.
styles,	拒否,We found several styles.
styling,	拒否,They are styling the results.
stylish,収入,Try to use the word 'stylish' in a short sentence.
stylise,	収益,Try to use the word 'stylise' in a short sentence.
stylised,厩,I stylised the report.
stylises,	不安定,We found several stylises.
stylising,	安定 化,They are stylising the results.
stylize,	安定,Try to use the word 'stylize' in a short sentence.
stylized,	安定 化,I stylized the report.
stylizes,	安定 化,We found several stylizes.
stylizing,	安定 化,They are stylizing the results.
substitute,	安定化,Try to use the word 'substitute' in a short sentence.
substituted,	安定,I substituted the report.
substitutes,	安定 化,We found several substitutes.
substituting,	安定,They are substituting the results.
substitution,	安定 化,Try to use the word 'substitution' in a short sentence.
sustain,	安定性,Try to use the word 'sustain' in a short sentence.
sustainable,	不安定,Try to use the word 'sustainable' in a short sentence.
sustainability,スタイル,Try to use the word 'sustainability' in a short sentence.
sustained,	スタイル,I sustained the report.
sustaining,	スタイル,They are sustaining the results.
sustains,	スタイリング,We found several sustains.
sustenance,	格好いい,Try to use the word 'sustenance' in a short sentence.
unsustainable,	スタイライズ,Try to use the word 'unsustainable' in a short sentence.
symbol,	スタイライズド,Try to use the word 'symbol' in a short sentence.
symbolic,	定型 化 された,Try to use the word 'symbolic' in a short sentence.
symbolically,	スタイリッシング,Try to use the word 'symbolically' in a short sentence.
symbolise,	スタイライズ,Try to use the word 'symbolise' in a short sentence.
symbolises,	定型 化 された,We found several symbolises.
symbolised,	スタイライズ,I symbolised the report.
symbolising,	スタイライズ,They are symbolising the results.
symbolism,代える,Try to use the word 'symbolism' in a short sentence.
symbolize,	置換,Try to use the word 'symbolize' in a short sentence.
symbolized,	代替,I symbolized the report.
symbolizes,	代入,We found several symbolizes.
symbolizing,	代入,They are symbolizing the results.
symbols,サスティン,We found several symbols.
target,	持続可能,Try to use the word 'target' in a short sentence.
targeted,	サステナビリティ,I targeted the report.
targeting,	持続,They are targeting the results.
targets,	維持,We found several targets.
transit,	支える,Try to use the word 'transit' in a short sentence.
transited,	糧,I transited the report.
transiting,	持続,They are transiting the results.
transition,記号,Try to use the word 'transition' in a short sentence.
transitional,	シンボリック,Try to use the word 'transitional' in a short sentence.
transitions,	象徴,We found several transitions.
transitory,	象徴,Try to use the word 'transitory' in a short sentence.
transits,	象徴,We found several transits.
trend,	象徴,Try to use the word 'trend' in a short sentence.
trends,	象徴,We found several trends.
version,	象徴主義,Try to use the word 'version' in a short sentence.
versions,	象徴,We found several versions.
welfare,	象徴,Try to use the word 'welfare' in a short sentence.
whereas,	象徴,We found several whereas.
Sublist 6 of the Academic Word List,	象徴,Try to use the word 'Sublist 6 of the Academic Word List' in a short sentence.
abstract,	シンボル,Try to use the word 'abstract' in a short sentence.
abstraction,ターゲット,Try to use the word 'abstraction' in a short sentence.
abstractions,	ターゲット,We found several abstractions.
abstractly,	ターゲット,Try to use the word 'abstractly' in a short sentence.
abstracts,	ターゲット,We found several abstracts.
accurate,トランシット,Try to use the word 'accurate' in a short sentence.
accuracy,	トランジット,Try to use the word 'accuracy' in a short sentence.
accurately,	通過,Try to use the word 'accurately' in a short sentence.
inaccuracy,	遷移,Try to use the word 'inaccuracy' in a short sentence.
inaccuracies,	過渡期の,We found several inaccuracies.
inaccurate,	遷移,Try to use the word 'inaccurate' in a short sentence.
acknowledge,	はかない,Try to use the word 'acknowledge' in a short sentence.
acknowledged,	通過,I acknowledged the report.
acknowledges,トレンド,We found several acknowledges.
acknowledging,	動向,They are acknowledging the results.
acknowledgement,バージョン,Try to use the word 'acknowledgement' in a short sentence.
acknowledgemens,	バージョン,We found several acknowledgemens.
aggregate,福祉,Try to use the word 'aggregate' in a short sentence.
aggregated,一方,I aggregated the report.
aggregates,,We found several aggregates.
aggregating,,They are aggregating the results.
aggregation,,Try to use the word 'aggregation' in a short sentence.
allocate,,Try to use the word 'allocate' in a short sentence.
allocated,,I allocated the report.
allocates,アカデミックワードリストのサブリスト6,We found several allocates.
allocating,,They are allocating the results.
allocation,,Try to use the word 'allocation' in a short sentence.
allocations,要約,We found several allocations.
assign,	アブストラクション,Try to use the word 'assign' in a short sentence.
assigned,	抽象 化,I assigned the report.
assigning,	抽象的,They are assigning the results.
assignment,	抄録,Try to use the word 'assignment' in a short sentence.
assignments,正確,We found several assignments.
assigns,	精度,We found several assigns.
reassign,	きちんと,Try to use the word 'reassign' in a short sentence.
reassigned,	不正確,I reassigned the report.
reassigning,	誤り,They are reassigning the results.
reassigns,	不明確,We found several reassigns.
unassigned,承認する,I unassigned the report.
attach,	認めた,Try to use the word 'attach' in a short sentence.
attached,	認める,I attached the report.
attaches,	認め,We found several attaches.
attaching,	承認,They are attaching the results.
attachment,	謝辞,Try to use the word 'attachment' in a short sentence.
attachments,骨材,We found several attachments.
unattached,	集計,I unattached the report.
author,	集計,She is an author.
authored,	集約,I authored the report.
authoring,	集合体,They are authoring the results.
authors,割り当てる,We found several authors.
authorship,	割り当て られた,Try to use the word 'authorship' in a short sentence.
bond,	割り当てます,Try to use the word 'bond' in a short sentence.
bonded,	割り当てる,I bonded the report.
bonding,	割り当て,They are bonding the results.
bonds,	手当,We found several bonds.
brief,割り当てる,Try to use the word 'brief' in a short sentence.
brevity,	割り当て られた,Try to use the word 'brevity' in a short sentence.
briefed,	割り当てる,I briefed the report.
briefing,	割り当て,They are briefing the results.
briefly,	割り当て,Try to use the word 'briefly' in a short sentence.
briefs,	割り当てます,We found several briefs.
capable,	割り当て,Try to use the word 'capable' in a short sentence.
capabilities,	割り当て,We found several capabilities.
capability,	割り当て,Try to use the word 'capability' in a short sentence.
incapable,	再,Try to use the word 'incapable' in a short sentence.
cite,	未割り当て,Try to use the word 'cite' in a short sentence.
citation,添付する,Try to use the word 'citation' in a short sentence.
citations,	付属,We found several citations.
cited,	ファスナー,I cited the report.
citing,	アタッチ,They are citing the results.
cites,	愛着,We found several cites.
cooperate,	添付 ファイル,Try to use the word 'cooperate' in a short sentence.
cooperated,	未接続,I cooperated the report.
cooperates,著者,We found several cooperates.
cooperating,	作成,They are cooperating the results.
cooperation,	オーサリング,Try to use the word 'cooperation' in a short sentence.
cooperative,	著者,Try to use the word 'cooperative' in a short sentence.
cooperatively,	原作 者,Try to use the word 'cooperatively' in a short sentence.
co-operate,債券,Try to use the word 'co-operate' in a short sentence.
co operated,	結合,I co operated the report.
co operates,	ボンディング,We found several co operates.
co operation,	絆,Try to use the word 'co operation' in a short sentence.
co operative,短,Try to use the word 'co operative' in a short sentence.
co operatively,	簡潔,Try to use the word 'co operatively' in a short sentence.
discriminate,	ブリーフィング,Try to use the word 'discriminate' in a short sentence.
discriminated,	ブリーフィング,I discriminated the report.
discriminates,	一通り,We found several discriminates.
discriminating,	ブリーフ,They are discriminating the results.
discrimination,有能,Try to use the word 'discrimination' in a short sentence.
display,	資格,Try to use the word 'display' in a short sentence.
displayed,	力,I displayed the report.
displaying,	できない,They are displaying the results.
displays,引用,We found several displays.
diverse,	引用,Try to use the word 'diverse' in a short sentence.
diversely,	引用,Try to use the word 'diversely' in a short sentence.
diversification,	引用,Try to use the word 'diversification' in a short sentence.
diversified,	引用,I diversified the report.
diversifies,	引用,We found several diversifies.
diversify,協力する,Try to use the word 'diversify' in a short sentence.
diversifying,	協力,They are diversifying the results.
diversity,	協力,Try to use the word 'diversity' in a short sentence.
domain,	協力,Try to use the word 'domain' in a short sentence.
domains,	協力,We found several domains.
edit,	協同組合,Try to use the word 'edit' in a short sentence.
edited,	協調,I edited the report.
editing,	協力する,They are editing the results.
edition,	協力,Try to use the word 'edition' in a short sentence.
editions,	協力,We found several editions.
editor,	協力,She is an editor.
editorial,	協同組合,Try to use the word 'editorial' in a short sentence.
editorials,	協調,We found several editorials.
editors,差別する,We found several editors.
edits,	差別,We found several edits.
enhance,	差別,Try to use the word 'enhance' in a short sentence.
enhanced,	識別,I enhanced the report.
enhancement,	差別,Try to use the word 'enhancement' in a short sentence.
enhances,陳列,We found several enhances.
enhancing,	表示,They are enhancing the results.
estate,	表示,Try to use the word 'estate' in a short sentence.
estates,	表示,We found several estates.
exceed,多様,I exceed the report.
exceeded,	多様に,I exceeded the report.
exceeding,	万状,They are exceeding the results.
exceeds,	多様 化,We found several exceeds.
expert,	多様 化,Try to use the word 'expert' in a short sentence.
expertise,	多様化する,Try to use the word 'expertise' in a short sentence.
expertly,	多様 化,Try to use the word 'expertly' in a short sentence.
experts,	多様性,We found several experts.
explicit,ドメイン,Try to use the word 'explicit' in a short sentence.
explicitly,	ドメイン,Try to use the word 'explicitly' in a short sentence.
federal,編集,Try to use the word 'federal' in a short sentence.
federation,	編集,Try to use the word 'federation' in a short sentence.
federations,	編集,We found several federations.
fee,	版,Try to use the word 'fee' in a short sentence.
fees,	エディション,We found several fees.
flexible,	編集者,Try to use the word 'flexible' in a short sentence.
flexibility,	社説,Try to use the word 'flexibility' in a short sentence.
inflexible,	社説,Try to use the word 'inflexible' in a short sentence.
inflexibility,	エディター,Try to use the word 'inflexibility' in a short sentence.
furthermore,	編集,Try to use the word 'furthermore' in a short sentence.
gender,強化,She is an gender.
genders,	強化,We found several genders.
ignorant,	エンハンスメント,Try to use the word 'ignorant' in a short sentence.
ignorance,	強化,Try to use the word 'ignorance' in a short sentence.
ignore,	強化,Try to use the word 'ignore' in a short sentence.
ignored,エステート,I ignored the report.
ignores,	団地,We found several ignores.
ignoring,越える,They are ignoring the results.
incentive,	超過,Try to use the word 'incentive' in a short sentence.
incentives,	超える,We found several incentives.
incidence,	超える,Try to use the word 'incidence' in a short sentence.
incident,達人,Try to use the word 'incident' in a short sentence.
incidentally,	ノウハウ,Try to use the word 'incidentally' in a short sentence.
incidents,	巧妙,We found several incidents.
incorporate,	専門家,Try to use the word 'incorporate' in a short sentence.
incorporated,暁,I incorporated the report.
incorporates,	明示的,We found several incorporates.
incorporating,フェデラル,They are incorporating the results.
incorporation,	フェデレーション,Try to use the word 'incorporation' in a short sentence.
index,	連合,Try to use the word 'index' in a short sentence.
indexed,料金,I indexed the report.
indexes,	手数料,We found several indexes.
indexing,フレキシブル,They are indexing the results.
inhibit,	柔軟性,Try to use the word 'inhibit' in a short sentence.
inhibited,	柔軟性,I inhibited the report.
inhibiting,	不撓不屈,They are inhibiting the results.
inhibition,その上,Try to use the word 'inhibition' in a short sentence.
inhibitions,ジェンダー,We found several inhibitions.
inhibits,	性別,We found several inhibits.
initiate,うとい,Try to use the word 'initiate' in a short sentence.
initiated,	無知,I initiated the report.
initiates,	不問に付す,We found several initiates.
initiating,	無視,They are initiating the results.
initiation,	無視,Try to use the word 'initiation' in a short sentence.
initiations,	無視,We found several initiations.
initiative,動機,Try to use the word 'initiative' in a short sentence.
initiatives,	誘因,We found several initiatives.
initiator,発生,She is an initiator.
initiators,	事件,We found several initiators.
input,	因みに,Try to use the word 'input' in a short sentence.
inputs,	事件,We found several inputs.
instruct,盛り込む,Try to use the word 'instruct' in a short sentence.
instruction,	組み込ま れて,Try to use the word 'instruction' in a short sentence.
instructed,	組み込む,I instructed the report.
instructing,	組み込む,They are instructing the results.
instructions,	設立,We found several instructions.
instructive,インデックス,Try to use the word 'instructive' in a short sentence.
instructor,	インデックス 付き,She is an instructor.
instructors,	索引,We found several instructors.
instructs,	インデキシング,We found several instructs.
intelligent,抑止,Try to use the word 'intelligent' in a short sentence.
intelligence,	阻害,Try to use the word 'intelligence' in a short sentence.
intelligently,	抑制,Try to use the word 'intelligently' in a short sentence.
unintelligent,	制止,Try to use the word 'unintelligent' in a short sentence.
interval,	抑制,Try to use the word 'interval' in a short sentence.
intervals,	抑制,We found several intervals.
lecture,始める,Try to use the word 'lecture' in a short sentence.
lectured,	開始,I lectured the report.
lecturer,	開始,She is an lecturer.
lecturers,	開始,We found several lecturers.
lectures,	イニシエーション,We found several lectures.
lecturing,	イニシエーション,They are lecturing the results.
migrate,	イニシアチブ,Try to use the word 'migrate' in a short sentence.
migrant,	取り組み,Try to use the word 'migrant' in a short sentence.
migrants,	イニシエータ,We found several migrants.
migrated,	イニシエーター,I migrated the report.
migrates,インプット,We found several migrates.
migrating,	入力,They are migrating the results.
migration,教える,Try to use the word 'migration' in a short sentence.
migrations,	命令,We found several migrations.
migratory,	指示,Try to use the word 'migratory' in a short sentence.
minimum,	指示,Try to use the word 'minimum' in a short sentence.
ministry,	指示,Try to use the word 'ministry' in a short sentence.
ministered,	教育的な,I ministered the report.
ministering,	インストラクター,They are ministering the results.
ministerial,	インストラクター,Try to use the word 'ministerial' in a short sentence.
ministries,	指示,We found several ministries.
motive,賢い,Try to use the word 'motive' in a short sentence.
motivate,	知性,Try to use the word 'motivate' in a short sentence.
motivated,	インテリジェント,I motivated the report.
motivates,	知能がない,We found several motivates.
motivating,間,They are motivating the results.
motivation,	間隔,Try to use the word 'motivation' in a short sentence.
motivations,講義,We found several motivations.
motives,	講義,We found several motives.
unmotivated,	講師,I unmotivated the report.
neutral,	講師,Try to use the word 'neutral' in a short sentence.
neutralisation,	講義,Try to use the word 'neutralisation' in a short sentence.
neutralise,	講義,Try to use the word 'neutralise' in a short sentence.
neutralised,マイグレート,I neutralised the report.
neutralises,	渡り鳥,We found several neutralises.
neutralising,	移民,They are neutralising the results.
neutrality,	移行,Try to use the word 'neutrality' in a short sentence.
neutralization,	移行,Try to use the word 'neutralization' in a short sentence.
neutralize,	移行,Try to use the word 'neutralize' in a short sentence.
neutralized,	移動,I neutralized the report.
neutralizes,	移行,We found several neutralizes.
neutralizing,	渡り鳥,They are neutralizing the results.
nevertheless,最低限,Try to use the word 'nevertheless' in a short sentence.
overseas,省,We found several overseas.
precede,	ミニスター,Try to use the word 'precede' in a short sentence.
preceded,	世話,I preceded the report.
precedence,	閣僚,Try to use the word 'precedence' in a short sentence.
precedent,	省庁,Try to use the word 'precedent' in a short sentence.
precedes,動機,We found several precedes.
preceding,	 動機を与える,They are preceding the results.
unprecedented,	動機,I unprecedented the report.
presume,	動機,Try to use the word 'presume' in a short sentence.
presumably,	やる気,Try to use the word 'presumably' in a short sentence.
presumed,	モチベーション,I presumed the report.
presumes,	動機,We found several presumes.
presuming,	動機,They are presuming the results.
presumption,	やる気,Try to use the word 'presumption' in a short sentence.
presumptions,ニュートラル,We found several presumptions.
presumptuous,	中和,We found several presumptuous.
rational,	中和,Try to use the word 'rational' in a short sentence.
irrational,	中和,Try to use the word 'irrational' in a short sentence.
rationalisation,	中和,Try to use the word 'rationalisation' in a short sentence.
rationalisations,	中和,We found several rationalisations.
rationalise,	中立,Try to use the word 'rationalise' in a short sentence.
rationalised,	中和,I rationalised the report.
rationalises,	中和する,We found several rationalises.
rationalising,	中和,They are rationalising the results.
rationalism,	中和,Try to use the word 'rationalism' in a short sentence.
rationality,	中和,Try to use the word 'rationality' in a short sentence.
rationalization,其れでも,Try to use the word 'rationalization' in a short sentence.
rationalizations,海外,We found several rationalizations.
rationalize,先んじる,Try to use the word 'rationalize' in a short sentence.
rationalized,	先行,I rationalized the report.
rationalizes,	順位,We found several rationalizes.
rationally,	判例,Try to use the word 'rationally' in a short sentence.
recover,	前,She is an recover.
recoverable,	先行,Try to use the word 'recoverable' in a short sentence.
recovered,	空前,I recovered the report.
recovering,察する,They are recovering the results.
recovers,	おそらく,We found several recovers.
recovery,	推定,Try to use the word 'recovery' in a short sentence.
reveal,	前提,Try to use the word 'reveal' in a short sentence.
revealed,	推定,I revealed the report.
revealing,	推定,They are revealing the results.
reveals,	推定,We found several reveals.
revelation,	烏滸がましい,Try to use the word 'revelation' in a short sentence.
revelations,合理的,We found several revelations.
scope,	不合理,Try to use the word 'scope' in a short sentence.
subsidy,	合理化,Try to use the word 'subsidy' in a short sentence.
subsidiary,	合理化,Try to use the word 'subsidiary' in a short sentence.
subsidies,	合理化,We found several subsidies.
subsidise,	合理化,Try to use the word 'subsidise' in a short sentence.
subsidised,	合理化,I subsidised the report.
subsidises,	合理化,We found several subsidises.
subsidising,	合理主義,They are subsidising the results.
subsidize,	合理性,Try to use the word 'subsidize' in a short sentence.
subsidized,	合理化,I subsidized the report.
subsidizes,	合理化,We found several subsidizes.
subsidizing,	合理化,They are subsidizing the results.
tape,	合理化,Try to use the word 'tape' in a short sentence.
taped,	合理化,I taped the report.
tapes,	合理的,We found several tapes.
taping,回復する,They are taping the results.
trace,	回復,Try to use the word 'trace' in a short sentence.
traceable,	回復,Try to use the word 'traceable' in a short sentence.
traced,	回復,I traced the report.
traces,	回復,We found several traces.
tracing,	回復,They are tracing the results.
transform,明かす,Try to use the word 'transform' in a short sentence.
transformation,	明らか,Try to use the word 'transformation' in a short sentence.
transformations,	明らか,We found several transformations.
transformed,	明らか,I transformed the report.
transforming,	暴露,They are transforming the results.
transforms,	啓示,We found several transforms.
transport,スコープ,Try to use the word 'transport' in a short sentence.
transportation,下付金,Try to use the word 'transportation' in a short sentence.
