English,Japanese,context
generates,	外部性,We found several generates.
generating,	外部,They are generating the results.
generation,	外部,"The concept of 'generation' plays an important role in many real-life situations, helping us better understand and use it effectively."
generations,	外部化,We found several generations.
image,	外部化,"The concept of 'image' plays an important role in many real-life situations, helping us better understand and use it effectively."
imagery,	外部,"The concept of 'imagery' plays an important role in many real-life situations, helping us better understand and use it effectively."
images,	外部,We found several images.
liberal,容易,"The concept of 'liberal' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalise,	促進,"The concept of 'liberalise' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalism,	容易,"The concept of 'liberalism' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalisation,	設備,"The concept of 'liberalisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalised,	促進,I liberalised the report.
liberalises,	促進,We found several liberalises.
liberalising,	ファシリテーター,They are liberalising the results.
liberalization,	ファシリテーター,"The concept of 'liberalization' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalize,	施設,"The concept of 'liberalize' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberalized,基本,I liberalized the report.
liberalizes,	基本的,We found several liberalizes.
liberalizing,生成する,They are liberalizing the results.
liberate,	生成,"The concept of 'liberate' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberated,	生成,I liberated the report.
liberates,	生成,We found several liberates.
liberation,世,"The concept of 'liberation' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberations,	世代,We found several liberations.
liberating,画像,They are liberating the results.
liberator,	画像,She is an liberator.
liberators,	画像,We found several liberators.
liberally,リベラル,"The concept of 'liberally' plays an important role in many real-life situations, helping us better understand and use it effectively."
liberals,	自由化,We found several liberals.
licence,	自由主義,"The concept of 'licence' plays an important role in many real-life situations, helping us better understand and use it effectively."
licences,	自由化,We found several licences.
license,	自由化,"The concept of 'license' plays an important role in many real-life situations, helping us better understand and use it effectively."
licensed,	自由化,I licensed the report.
licensing,	自由化,They are licensing the results.
licenses,	自由化,We found several licenses.
unlicensed,	自由化,I unlicensed the report.
logic,	自由化,"The concept of 'logic' plays an important role in many real-life situations, helping us better understand and use it effectively."
illogical,	自由化,"The concept of 'illogical' plays an important role in many real-life situations, helping us better understand and use it effectively."
illogically,	自由化,"The concept of 'illogically' plays an important role in many real-life situations, helping us better understand and use it effectively."
logical,	解き放す,"The concept of 'logical' plays an important role in many real-life situations, helping us better understand and use it effectively."
logically,	解放,"The concept of 'logically' plays an important role in many real-life situations, helping us better understand and use it effectively."
logician,	解放,"The concept of 'logician' plays an important role in many real-life situations, helping us better understand and use it effectively."
logicians,	解放,We found several logicians.
margin,	解放,"The concept of 'margin' plays an important role in many real-life situations, helping us better understand and use it effectively."
marginal,	解放,"The concept of 'marginal' plays an important role in many real-life situations, helping us better understand and use it effectively."
marginally,	リベレーター,"The concept of 'marginally' plays an important role in many real-life situations, helping us better understand and use it effectively."
margins,	解放,We found several margins.
medical,	自由,"The concept of 'medical' plays an important role in many real-life situations, helping us better understand and use it effectively."
medically,	自由主義 者,"The concept of 'medically' plays an important role in many real-life situations, helping us better understand and use it effectively."
mental,ライセンス,"The concept of 'mental' plays an important role in many real-life situations, helping us better understand and use it effectively."
mentality,	ライセンス,"The concept of 'mentality' plays an important role in many real-life situations, helping us better understand and use it effectively."
mentally,	ライセンス,"The concept of 'mentally' plays an important role in many real-life situations, helping us better understand and use it effectively."
modify,	ライセンス,"The concept of 'modify' plays an important role in many real-life situations, helping us better understand and use it effectively."
modification,	ライセンス,"The concept of 'modification' plays an important role in many real-life situations, helping us better understand and use it effectively."
modifications,	ライセンス,We found several modifications.
modified,	無免許の,I modified the report.
modifies,論理,We found several modifies.
modifying,	支離滅裂な,They are modifying the results.
unmodified,	非論理的,I unmodified the report.
monitor,	合理的,She is an monitor.
monitored,	元来,I monitored the report.
monitoring,	論理学者,They are monitoring the results.
monitors,	論理学者,We found several monitors.
unmonitored,余地,I unmonitored the report.
network,	限界,"The concept of 'network' plays an important role in many real-life situations, helping us better understand and use it effectively."
networked,	わずか,I networked the report.
networking,	余白,They are networking the results.
networks,メディカル,We found several networks.
notion,	医学,"The concept of 'notion' plays an important role in many real-life situations, helping us better understand and use it effectively."
notions,精神,We found several notions.
objective,	メンタリティー,"The concept of 'objective' plays an important role in many real-life situations, helping us better understand and use it effectively."
objectively,	精神的に,"The concept of 'objectively' plays an important role in many real-life situations, helping us better understand and use it effectively."
objectivity,修飾する,"The concept of 'objectivity' plays an important role in many real-life situations, helping us better understand and use it effectively."
orient,	修正,"The concept of 'orient' plays an important role in many real-life situations, helping us better understand and use it effectively."
orientate,	変遷,"The concept of 'orientate' plays an important role in many real-life situations, helping us better understand and use it effectively."
orientated,	変更,I orientated the report.
orientates,	変更,We found several orientates.
orientation,	変更,"The concept of 'orientation' plays an important role in many real-life situations, helping us better understand and use it effectively."
orientating,	未変更,They are orientating the results.
oriented,モニター,I oriented the report.
orienting,	監視,They are orienting the results.
orients,	モニタリング,We found several orients.
reorient,	モニター,"The concept of 'reorient' plays an important role in many real-life situations, helping us better understand and use it effectively."
reorientation,	監視対象外,"The concept of 'reorientation' plays an important role in many real-life situations, helping us better understand and use it effectively."
perspective,ネットワーク,"The concept of 'perspective' plays an important role in many real-life situations, helping us better understand and use it effectively."
perspectives,	ネットワーク,We found several perspectives.
precise,	ネットワーキング,"The concept of 'precise' plays an important role in many real-life situations, helping us better understand and use it effectively."
imprecise,	ネットワーク,"The concept of 'imprecise' plays an important role in many real-life situations, helping us better understand and use it effectively."
precisely,概念,"The concept of 'precisely' plays an important role in many real-life situations, helping us better understand and use it effectively."
precision,	概念,"The concept of 'precision' plays an important role in many real-life situations, helping us better understand and use it effectively."
prime,目的,"The concept of 'prime' plays an important role in many real-life situations, helping us better understand and use it effectively."
primacy,	客観的,"The concept of 'primacy' plays an important role in many real-life situations, helping us better understand and use it effectively."
psychology,	客観性,"The concept of 'psychology' plays an important role in many real-life situations, helping us better understand and use it effectively."
psychological,オリエント,"The concept of 'psychological' plays an important role in many real-life situations, helping us better understand and use it effectively."
psychologically,	オリエンテッド,"The concept of 'psychologically' plays an important role in many real-life situations, helping us better understand and use it effectively."
psychologist,	志向,"The concept of 'psychologist' plays an important role in many real-life situations, helping us better understand and use it effectively."
psychologists,	オリエンテーション,We found several psychologists.
pursue,	オリエンテーション,"The concept of 'pursue' plays an important role in many real-life situations, helping us better understand and use it effectively."
pursued,	配向,I pursued the report.
pursues,	オリエンテッド,We found several pursues.
pursuing,	定位,They are pursuing the results.
pursuit,	方向づける,"The concept of 'pursuit' plays an important role in many real-life situations, helping us better understand and use it effectively."
pursuits,	方向,We found several pursuits.
ratio,	方向 転換,"The concept of 'ratio' plays an important role in many real-life situations, helping us better understand and use it effectively."
ratios,パースペクティブ,We found several ratios.
reject,	視点,"The concept of 'reject' plays an important role in many real-life situations, helping us better understand and use it effectively."
rejected,正確,I rejected the report.
rejecting,	不明確,They are rejecting the results.
rejection,	丁度,"The concept of 'rejection' plays an important role in many real-life situations, helping us better understand and use it effectively."
rejects,	精度,We found several rejects.
rejections,盛り,We found several rejections.
revenue,	優位 性,"The concept of 'revenue' plays an important role in many real-life situations, helping us better understand and use it effectively."
revenues,心理学,We found several revenues.
stable,	サイコロジカル,"The concept of 'stable' plays an important role in many real-life situations, helping us better understand and use it effectively."
instability,	心理 的,"The concept of 'instability' plays an important role in many real-life situations, helping us better understand and use it effectively."
stabilisation,	心理学者,"The concept of 'stabilisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
stabilise,	心理 学 者,"The concept of 'stabilise' plays an important role in many real-life situations, helping us better understand and use it effectively."
stabilised,追う,I stabilised the report.
stabilises,	追求,We found several stabilises.
stabilising,	追求,They are stabilising the results.
stabilization,	追求,"The concept of 'stabilization' plays an important role in many real-life situations, helping us better understand and use it effectively."
stabilize,	追求,"The concept of 'stabilize' plays an important role in many real-life situations, helping us better understand and use it effectively."
stabilized,	追求,I stabilized the report.
stabilizes,比,We found several stabilizes.
stabilizing,	 比,They are stabilizing the results.
stability,リジェクト,"The concept of 'stability' plays an important role in many real-life situations, helping us better understand and use it effectively."
unstable,	拒否,"The concept of 'unstable' plays an important role in many real-life situations, helping us better understand and use it effectively."
style,	拒否,"The concept of 'style' plays an important role in many real-life situations, helping us better understand and use it effectively."
styled,	拒絶,I styled the report.
styles,	拒否,We found several styles.
styling,	拒否,They are styling the results.
stylish,収入,"The concept of 'stylish' plays an important role in many real-life situations, helping us better understand and use it effectively."
stylise,	収益,"The concept of 'stylise' plays an important role in many real-life situations, helping us better understand and use it effectively."
stylised,厩,I stylised the report.
stylises,	不安定,We found several stylises.
stylising,	安定 化,They are stylising the results.
stylize,	安定,"The concept of 'stylize' plays an important role in many real-life situations, helping us better understand and use it effectively."
stylized,	安定 化,I stylized the report.
stylizes,	安定 化,We found several stylizes.
stylizing,	安定 化,They are stylizing the results.
substitute,	安定化,"The concept of 'substitute' plays an important role in many real-life situations, helping us better understand and use it effectively."
substituted,	安定,I substituted the report.
substitutes,	安定 化,We found several substitutes.
substituting,	安定,They are substituting the results.
substitution,	安定 化,"The concept of 'substitution' plays an important role in many real-life situations, helping us better understand and use it effectively."
sustain,	安定性,"The concept of 'sustain' plays an important role in many real-life situations, helping us better understand and use it effectively."
sustainable,	不安定,"The concept of 'sustainable' plays an important role in many real-life situations, helping us better understand and use it effectively."
sustainability,スタイル,"The concept of 'sustainability' plays an important role in many real-life situations, helping us better understand and use it effectively."
sustained,	スタイル,I sustained the report.
sustaining,	スタイル,They are sustaining the results.
sustains,	スタイリング,We found several sustains.
sustenance,	格好いい,"The concept of 'sustenance' plays an important role in many real-life situations, helping us better understand and use it effectively."
unsustainable,	スタイライズ,"The concept of 'unsustainable' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbol,	スタイライズド,"The concept of 'symbol' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolic,	定型 化 された,"The concept of 'symbolic' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolically,	スタイリッシング,"The concept of 'symbolically' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolise,	スタイライズ,"The concept of 'symbolise' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolises,	定型 化 された,We found several symbolises.
symbolised,	スタイライズ,I symbolised the report.
symbolising,	スタイライズ,They are symbolising the results.
symbolism,代える,"The concept of 'symbolism' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolize,	置換,"The concept of 'symbolize' plays an important role in many real-life situations, helping us better understand and use it effectively."
symbolized,	代替,I symbolized the report.
symbolizes,	代入,We found several symbolizes.
symbolizing,	代入,They are symbolizing the results.
symbols,サスティン,We found several symbols.
target,	持続可能,"The concept of 'target' plays an important role in many real-life situations, helping us better understand and use it effectively."
targeted,	サステナビリティ,I targeted the report.
targeting,	持続,They are targeting the results.
targets,	維持,We found several targets.
transit,	支える,"The concept of 'transit' plays an important role in many real-life situations, helping us better understand and use it effectively."
transited,	糧,I transited the report.
transiting,	持続,They are transiting the results.
transition,記号,"The concept of 'transition' plays an important role in many real-life situations, helping us better understand and use it effectively."
transitional,	シンボリック,"The concept of 'transitional' plays an important role in many real-life situations, helping us better understand and use it effectively."
transitions,	象徴,We found several transitions.
transitory,	象徴,"The concept of 'transitory' plays an important role in many real-life situations, helping us better understand and use it effectively."
transits,	象徴,We found several transits.
trend,	象徴,"The concept of 'trend' plays an important role in many real-life situations, helping us better understand and use it effectively."
trends,	象徴,We found several trends.
version,	象徴主義,"The concept of 'version' plays an important role in many real-life situations, helping us better understand and use it effectively."
versions,	象徴,We found several versions.
welfare,	象徴,"The concept of 'welfare' plays an important role in many real-life situations, helping us better understand and use it effectively."
whereas,	象徴,We found several whereas.
Sublist 6 of the Academic Word List,	象徴,"The concept of 'Sublist 6 of the Academic Word List' plays an important role in many real-life situations, helping us better understand and use it effectively."
abstract,	シンボル,"The concept of 'abstract' plays an important role in many real-life situations, helping us better understand and use it effectively."
abstraction,ターゲット,"The concept of 'abstraction' plays an important role in many real-life situations, helping us better understand and use it effectively."
abstractions,	ターゲット,We found several abstractions.
abstractly,	ターゲット,"The concept of 'abstractly' plays an important role in many real-life situations, helping us better understand and use it effectively."
abstracts,	ターゲット,We found several abstracts.
accurate,トランシット,"The concept of 'accurate' plays an important role in many real-life situations, helping us better understand and use it effectively."
accuracy,	トランジット,"The concept of 'accuracy' plays an important role in many real-life situations, helping us better understand and use it effectively."
accurately,	通過,"The concept of 'accurately' plays an important role in many real-life situations, helping us better understand and use it effectively."
inaccuracy,	遷移,"The concept of 'inaccuracy' plays an important role in many real-life situations, helping us better understand and use it effectively."
inaccuracies,	過渡期の,We found several inaccuracies.
inaccurate,	遷移,"The concept of 'inaccurate' plays an important role in many real-life situations, helping us better understand and use it effectively."
acknowledge,	はかない,"The concept of 'acknowledge' plays an important role in many real-life situations, helping us better understand and use it effectively."
acknowledged,	通過,I acknowledged the report.
acknowledges,トレンド,We found several acknowledges.
acknowledging,	動向,They are acknowledging the results.
acknowledgement,バージョン,"The concept of 'acknowledgement' plays an important role in many real-life situations, helping us better understand and use it effectively."
acknowledgemens,	バージョン,We found several acknowledgemens.
aggregate,福祉,"The concept of 'aggregate' plays an important role in many real-life situations, helping us better understand and use it effectively."
aggregated,一方,I aggregated the report.
aggregates,,We found several aggregates.
aggregating,,They are aggregating the results.
aggregation,,"The concept of 'aggregation' plays an important role in many real-life situations, helping us better understand and use it effectively."
allocate,,"The concept of 'allocate' plays an important role in many real-life situations, helping us better understand and use it effectively."
allocated,,I allocated the report.
allocates,アカデミックワードリストのサブリスト6,We found several allocates.
allocating,,They are allocating the results.
allocation,,"The concept of 'allocation' plays an important role in many real-life situations, helping us better understand and use it effectively."
allocations,要約,We found several allocations.
assign,	アブストラクション,"The concept of 'assign' plays an important role in many real-life situations, helping us better understand and use it effectively."
assigned,	抽象 化,I assigned the report.
assigning,	抽象的,They are assigning the results.
assignment,	抄録,"The concept of 'assignment' plays an important role in many real-life situations, helping us better understand and use it effectively."
assignments,正確,We found several assignments.
assigns,	精度,We found several assigns.
reassign,	きちんと,"The concept of 'reassign' plays an important role in many real-life situations, helping us better understand and use it effectively."
reassigned,	不正確,I reassigned the report.
reassigning,	誤り,They are reassigning the results.
reassigns,	不明確,We found several reassigns.
unassigned,承認する,I unassigned the report.
attach,	認めた,"The concept of 'attach' plays an important role in many real-life situations, helping us better understand and use it effectively."
attached,	認める,I attached the report.
attaches,	認め,We found several attaches.
attaching,	承認,They are attaching the results.
attachment,	謝辞,"The concept of 'attachment' plays an important role in many real-life situations, helping us better understand and use it effectively."
attachments,骨材,We found several attachments.
unattached,	集計,I unattached the report.
author,	集計,She is an author.
authored,	集約,I authored the report.
authoring,	集合体,They are authoring the results.
authors,割り当てる,We found several authors.
authorship,	割り当て られた,"The concept of 'authorship' plays an important role in many real-life situations, helping us better understand and use it effectively."
bond,	割り当てます,"The concept of 'bond' plays an important role in many real-life situations, helping us better understand and use it effectively."
bonded,	割り当てる,I bonded the report.
bonding,	割り当て,They are bonding the results.
bonds,	手当,We found several bonds.
brief,割り当てる,"The concept of 'brief' plays an important role in many real-life situations, helping us better understand and use it effectively."
brevity,	割り当て られた,"The concept of 'brevity' plays an important role in many real-life situations, helping us better understand and use it effectively."
briefed,	割り当てる,I briefed the report.
briefing,	割り当て,They are briefing the results.
briefly,	割り当て,"The concept of 'briefly' plays an important role in many real-life situations, helping us better understand and use it effectively."
briefs,	割り当てます,We found several briefs.
capable,	割り当て,"The concept of 'capable' plays an important role in many real-life situations, helping us better understand and use it effectively."
capabilities,	割り当て,We found several capabilities.
capability,	割り当て,"The concept of 'capability' plays an important role in many real-life situations, helping us better understand and use it effectively."
incapable,	再,"The concept of 'incapable' plays an important role in many real-life situations, helping us better understand and use it effectively."
cite,	未割り当て,"The concept of 'cite' plays an important role in many real-life situations, helping us better understand and use it effectively."
citation,添付する,"The concept of 'citation' plays an important role in many real-life situations, helping us better understand and use it effectively."
citations,	付属,We found several citations.
cited,	ファスナー,I cited the report.
citing,	アタッチ,They are citing the results.
cites,	愛着,We found several cites.
cooperate,	添付 ファイル,"The concept of 'cooperate' plays an important role in many real-life situations, helping us better understand and use it effectively."
cooperated,	未接続,I cooperated the report.
cooperates,著者,We found several cooperates.
cooperating,	作成,They are cooperating the results.
cooperation,	オーサリング,"The concept of 'cooperation' plays an important role in many real-life situations, helping us better understand and use it effectively."
cooperative,	著者,"The concept of 'cooperative' plays an important role in many real-life situations, helping us better understand and use it effectively."
cooperatively,	原作 者,"The concept of 'cooperatively' plays an important role in many real-life situations, helping us better understand and use it effectively."
co-operate,債券,"The concept of 'co-operate' plays an important role in many real-life situations, helping us better understand and use it effectively."
co operated,	結合,I co operated the report.
co operates,	ボンディング,We found several co operates.
co operation,	絆,"The concept of 'co operation' plays an important role in many real-life situations, helping us better understand and use it effectively."
co operative,短,"The concept of 'co operative' plays an important role in many real-life situations, helping us better understand and use it effectively."
co operatively,	簡潔,"The concept of 'co operatively' plays an important role in many real-life situations, helping us better understand and use it effectively."
discriminate,	ブリーフィング,"The concept of 'discriminate' plays an important role in many real-life situations, helping us better understand and use it effectively."
discriminated,	ブリーフィング,I discriminated the report.
discriminates,	一通り,We found several discriminates.
discriminating,	ブリーフ,They are discriminating the results.
discrimination,有能,"The concept of 'discrimination' plays an important role in many real-life situations, helping us better understand and use it effectively."
display,	資格,"The concept of 'display' plays an important role in many real-life situations, helping us better understand and use it effectively."
displayed,	力,I displayed the report.
displaying,	できない,They are displaying the results.
displays,引用,We found several displays.
diverse,	引用,"The concept of 'diverse' plays an important role in many real-life situations, helping us better understand and use it effectively."
diversely,	引用,"The concept of 'diversely' plays an important role in many real-life situations, helping us better understand and use it effectively."
diversification,	引用,"The concept of 'diversification' plays an important role in many real-life situations, helping us better understand and use it effectively."
diversified,	引用,I diversified the report.
diversifies,	引用,We found several diversifies.
diversify,協力する,"The concept of 'diversify' plays an important role in many real-life situations, helping us better understand and use it effectively."
diversifying,	協力,They are diversifying the results.
diversity,	協力,"The concept of 'diversity' plays an important role in many real-life situations, helping us better understand and use it effectively."
domain,	協力,"The concept of 'domain' plays an important role in many real-life situations, helping us better understand and use it effectively."
domains,	協力,We found several domains.
edit,	協同組合,"The concept of 'edit' plays an important role in many real-life situations, helping us better understand and use it effectively."
edited,	協調,I edited the report.
editing,	協力する,They are editing the results.
edition,	協力,"The concept of 'edition' plays an important role in many real-life situations, helping us better understand and use it effectively."
editions,	協力,We found several editions.
editor,	協力,She is an editor.
editorial,	協同組合,"The concept of 'editorial' plays an important role in many real-life situations, helping us better understand and use it effectively."
editorials,	協調,We found several editorials.
editors,差別する,We found several editors.
edits,	差別,We found several edits.
enhance,	差別,"The concept of 'enhance' plays an important role in many real-life situations, helping us better understand and use it effectively."
enhanced,	識別,I enhanced the report.
enhancement,	差別,"The concept of 'enhancement' plays an important role in many real-life situations, helping us better understand and use it effectively."
enhances,陳列,We found several enhances.
enhancing,	表示,They are enhancing the results.
estate,	表示,"The concept of 'estate' plays an important role in many real-life situations, helping us better understand and use it effectively."
estates,	表示,We found several estates.
exceed,多様,I exceed the report.
exceeded,	多様に,I exceeded the report.
exceeding,	万状,They are exceeding the results.
exceeds,	多様 化,We found several exceeds.
expert,	多様 化,"The concept of 'expert' plays an important role in many real-life situations, helping us better understand and use it effectively."
expertise,	多様化する,"The concept of 'expertise' plays an important role in many real-life situations, helping us better understand and use it effectively."
expertly,	多様 化,"The concept of 'expertly' plays an important role in many real-life situations, helping us better understand and use it effectively."
experts,	多様性,We found several experts.
explicit,ドメイン,"The concept of 'explicit' plays an important role in many real-life situations, helping us better understand and use it effectively."
explicitly,	ドメイン,"The concept of 'explicitly' plays an important role in many real-life situations, helping us better understand and use it effectively."
federal,編集,"The concept of 'federal' plays an important role in many real-life situations, helping us better understand and use it effectively."
federation,	編集,"The concept of 'federation' plays an important role in many real-life situations, helping us better understand and use it effectively."
federations,	編集,We found several federations.
fee,	版,"The concept of 'fee' plays an important role in many real-life situations, helping us better understand and use it effectively."
fees,	エディション,We found several fees.
flexible,	編集者,"The concept of 'flexible' plays an important role in many real-life situations, helping us better understand and use it effectively."
flexibility,	社説,"The concept of 'flexibility' plays an important role in many real-life situations, helping us better understand and use it effectively."
inflexible,	社説,"The concept of 'inflexible' plays an important role in many real-life situations, helping us better understand and use it effectively."
inflexibility,	エディター,"The concept of 'inflexibility' plays an important role in many real-life situations, helping us better understand and use it effectively."
furthermore,	編集,"The concept of 'furthermore' plays an important role in many real-life situations, helping us better understand and use it effectively."
gender,強化,She is an gender.
genders,	強化,We found several genders.
ignorant,	エンハンスメント,"The concept of 'ignorant' plays an important role in many real-life situations, helping us better understand and use it effectively."
ignorance,	強化,"The concept of 'ignorance' plays an important role in many real-life situations, helping us better understand and use it effectively."
ignore,	強化,"The concept of 'ignore' plays an important role in many real-life situations, helping us better understand and use it effectively."
ignored,エステート,I ignored the report.
ignores,	団地,We found several ignores.
ignoring,越える,They are ignoring the results.
incentive,	超過,"The concept of 'incentive' plays an important role in many real-life situations, helping us better understand and use it effectively."
incentives,	超える,We found several incentives.
incidence,	超える,"The concept of 'incidence' plays an important role in many real-life situations, helping us better understand and use it effectively."
incident,達人,"The concept of 'incident' plays an important role in many real-life situations, helping us better understand and use it effectively."
incidentally,	ノウハウ,"The concept of 'incidentally' plays an important role in many real-life situations, helping us better understand and use it effectively."
incidents,	巧妙,We found several incidents.
incorporate,	専門家,"The concept of 'incorporate' plays an important role in many real-life situations, helping us better understand and use it effectively."
incorporated,暁,I incorporated the report.
incorporates,	明示的,We found several incorporates.
incorporating,フェデラル,They are incorporating the results.
incorporation,	フェデレーション,"The concept of 'incorporation' plays an important role in many real-life situations, helping us better understand and use it effectively."
index,	連合,"The concept of 'index' plays an important role in many real-life situations, helping us better understand and use it effectively."
indexed,料金,I indexed the report.
indexes,	手数料,We found several indexes.
indexing,フレキシブル,They are indexing the results.
inhibit,	柔軟性,"The concept of 'inhibit' plays an important role in many real-life situations, helping us better understand and use it effectively."
inhibited,	柔軟性,I inhibited the report.
inhibiting,	不撓不屈,They are inhibiting the results.
inhibition,その上,"The concept of 'inhibition' plays an important role in many real-life situations, helping us better understand and use it effectively."
inhibitions,ジェンダー,We found several inhibitions.
inhibits,	性別,We found several inhibits.
initiate,うとい,"The concept of 'initiate' plays an important role in many real-life situations, helping us better understand and use it effectively."
initiated,	無知,I initiated the report.
initiates,	不問に付す,We found several initiates.
initiating,	無視,They are initiating the results.
initiation,	無視,"The concept of 'initiation' plays an important role in many real-life situations, helping us better understand and use it effectively."
initiations,	無視,We found several initiations.
initiative,動機,"The concept of 'initiative' plays an important role in many real-life situations, helping us better understand and use it effectively."
initiatives,	誘因,We found several initiatives.
initiator,発生,She is an initiator.
initiators,	事件,We found several initiators.
input,	因みに,"The concept of 'input' plays an important role in many real-life situations, helping us better understand and use it effectively."
inputs,	事件,We found several inputs.
instruct,盛り込む,"The concept of 'instruct' plays an important role in many real-life situations, helping us better understand and use it effectively."
instruction,	組み込ま れて,"The concept of 'instruction' plays an important role in many real-life situations, helping us better understand and use it effectively."
instructed,	組み込む,I instructed the report.
instructing,	組み込む,They are instructing the results.
instructions,	設立,We found several instructions.
instructive,インデックス,"The concept of 'instructive' plays an important role in many real-life situations, helping us better understand and use it effectively."
instructor,	インデックス 付き,She is an instructor.
instructors,	索引,We found several instructors.
instructs,	インデキシング,We found several instructs.
intelligent,抑止,"The concept of 'intelligent' plays an important role in many real-life situations, helping us better understand and use it effectively."
intelligence,	阻害,"The concept of 'intelligence' plays an important role in many real-life situations, helping us better understand and use it effectively."
intelligently,	抑制,"The concept of 'intelligently' plays an important role in many real-life situations, helping us better understand and use it effectively."
unintelligent,	制止,"The concept of 'unintelligent' plays an important role in many real-life situations, helping us better understand and use it effectively."
interval,	抑制,"The concept of 'interval' plays an important role in many real-life situations, helping us better understand and use it effectively."
intervals,	抑制,We found several intervals.
lecture,始める,"The concept of 'lecture' plays an important role in many real-life situations, helping us better understand and use it effectively."
lectured,	開始,I lectured the report.
lecturer,	開始,She is an lecturer.
lecturers,	開始,We found several lecturers.
lectures,	イニシエーション,We found several lectures.
lecturing,	イニシエーション,They are lecturing the results.
migrate,	イニシアチブ,"The concept of 'migrate' plays an important role in many real-life situations, helping us better understand and use it effectively."
migrant,	取り組み,"The concept of 'migrant' plays an important role in many real-life situations, helping us better understand and use it effectively."
migrants,	イニシエータ,We found several migrants.
migrated,	イニシエーター,I migrated the report.
migrates,インプット,We found several migrates.
migrating,	入力,They are migrating the results.
migration,教える,"The concept of 'migration' plays an important role in many real-life situations, helping us better understand and use it effectively."
migrations,	命令,We found several migrations.
migratory,	指示,"The concept of 'migratory' plays an important role in many real-life situations, helping us better understand and use it effectively."
minimum,	指示,"The concept of 'minimum' plays an important role in many real-life situations, helping us better understand and use it effectively."
ministry,	指示,"The concept of 'ministry' plays an important role in many real-life situations, helping us better understand and use it effectively."
ministered,	教育的な,I ministered the report.
ministering,	インストラクター,They are ministering the results.
ministerial,	インストラクター,"The concept of 'ministerial' plays an important role in many real-life situations, helping us better understand and use it effectively."
ministries,	指示,We found several ministries.
motive,賢い,"The concept of 'motive' plays an important role in many real-life situations, helping us better understand and use it effectively."
motivate,	知性,"The concept of 'motivate' plays an important role in many real-life situations, helping us better understand and use it effectively."
motivated,	インテリジェント,I motivated the report.
motivates,	知能がない,We found several motivates.
motivating,間,They are motivating the results.
motivation,	間隔,"The concept of 'motivation' plays an important role in many real-life situations, helping us better understand and use it effectively."
motivations,講義,We found several motivations.
motives,	講義,We found several motives.
unmotivated,	講師,I unmotivated the report.
neutral,	講師,"The concept of 'neutral' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralisation,	講義,"The concept of 'neutralisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralise,	講義,"The concept of 'neutralise' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralised,マイグレート,I neutralised the report.
neutralises,	渡り鳥,We found several neutralises.
neutralising,	移民,They are neutralising the results.
neutrality,	移行,"The concept of 'neutrality' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralization,	移行,"The concept of 'neutralization' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralize,	移行,"The concept of 'neutralize' plays an important role in many real-life situations, helping us better understand and use it effectively."
neutralized,	移動,I neutralized the report.
neutralizes,	移行,We found several neutralizes.
neutralizing,	渡り鳥,They are neutralizing the results.
nevertheless,最低限,"The concept of 'nevertheless' plays an important role in many real-life situations, helping us better understand and use it effectively."
overseas,省,We found several overseas.
precede,	ミニスター,"The concept of 'precede' plays an important role in many real-life situations, helping us better understand and use it effectively."
preceded,	世話,I preceded the report.
precedence,	閣僚,"The concept of 'precedence' plays an important role in many real-life situations, helping us better understand and use it effectively."
precedent,	省庁,"The concept of 'precedent' plays an important role in many real-life situations, helping us better understand and use it effectively."
precedes,動機,We found several precedes.
preceding,	 動機を与える,They are preceding the results.
unprecedented,	動機,I unprecedented the report.
presume,	動機,"The concept of 'presume' plays an important role in many real-life situations, helping us better understand and use it effectively."
presumably,	やる気,"The concept of 'presumably' plays an important role in many real-life situations, helping us better understand and use it effectively."
presumed,	モチベーション,I presumed the report.
presumes,	動機,We found several presumes.
presuming,	動機,They are presuming the results.
presumption,	やる気,"The concept of 'presumption' plays an important role in many real-life situations, helping us better understand and use it effectively."
presumptions,ニュートラル,We found several presumptions.
presumptuous,	中和,We found several presumptuous.
rational,	中和,"The concept of 'rational' plays an important role in many real-life situations, helping us better understand and use it effectively."
irrational,	中和,"The concept of 'irrational' plays an important role in many real-life situations, helping us better understand and use it effectively."
rationalisation,	中和,"The concept of 'rationalisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
